ROWID,Country,State lgd code,State,YearCode,Year,Type of area,Age group,Gender,Literacy rate
1356,India,11,Sikkim,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,7 Above,person,87.3
1357,India,11,Sikkim,2022,"Agriculture Year (Jul - Jun), 2022",urban,5 Above,female,93.7
1358,India,11,Sikkim,2022,"Agriculture Year (Jul - Jun), 2022",urban,5 Above,male,96.7
1359,India,11,Sikkim,2022,"Agriculture Year (Jul - Jun), 2022",urban,5 Above,person,95.3
1360,India,11,Sikkim,2022,"Agriculture Year (Jul - Jun), 2022",urban,7 Above,female,93.6
1361,India,11,Sikkim,2022,"Agriculture Year (Jul - Jun), 2022",urban,7 Above,male,97.3
1362,India,11,Sikkim,2022,"Agriculture Year (Jul - Jun), 2022",urban,7 Above,person,95.7
1363,India,11,Sikkim,2023,"Agriculture Year (Jul - Jun), 2023",rural,5 Above,female,76.5
1364,India,11,Sikkim,2023,"Agriculture Year (Jul - Jun), 2023",rural,5 Above,male,85.6
1365,India,11,Sikkim,2023,"Agriculture Year (Jul - Jun), 2023",rural,5 Above,persons,81.3
1366,India,11,Sikkim,2023,"Agriculture Year (Jul - Jun), 2023",rural,7 Above,female,76.4
1367,India,11,Sikkim,2023,"Agriculture Year (Jul - Jun), 2023",rural,7 Above,male,87.5
1368,India,11,Sikkim,2023,"Agriculture Year (Jul - Jun), 2023",rural,7 Above,persons,82.2
1369,India,11,Sikkim,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,5 Above,female,79.2
1370,India,11,Sikkim,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,5 Above,male,87.4
1371,India,11,Sikkim,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,5 Above,persons,83.6
1372,India,11,Sikkim,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,7 Above,female,79.3
1373,India,11,Sikkim,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,7 Above,male,89.3
1374,India,11,Sikkim,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,7 Above,persons,84.7
1375,India,11,Sikkim,2023,"Agriculture Year (Jul - Jun), 2023",urban,5 Above,female,88.9
1376,India,11,Sikkim,2023,"Agriculture Year (Jul - Jun), 2023",urban,5 Above,male,93.1
1377,India,11,Sikkim,2023,"Agriculture Year (Jul - Jun), 2023",urban,5 Above,persons,91.3
1378,India,11,Sikkim,2023,"Agriculture Year (Jul - Jun), 2023",urban,7 Above,female,90
1379,India,11,Sikkim,2023,"Agriculture Year (Jul - Jun), 2023",urban,7 Above,male,94.9
1380,India,11,Sikkim,2023,"Agriculture Year (Jul - Jun), 2023",urban,7 Above,persons,92.7
1381,India,12,Arunachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",rural,5 Above,female,68.7
1382,India,12,Arunachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",rural,5 Above,male,85.1
1383,India,12,Arunachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",rural,5 Above,person,77.8
1384,India,12,Arunachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",rural,7 Above,female,68.7
1385,India,12,Arunachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",rural,7 Above,male,85
1386,India,12,Arunachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",rural,7 Above,person,77.7
1387,India,12,Arunachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,5 Above,female,70.9
1388,India,12,Arunachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,5 Above,male,86.6
1389,India,12,Arunachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,5 Above,person,79.5
1390,India,12,Arunachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,7 Above,female,70.9
1391,India,12,Arunachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,7 Above,male,86.5
1392,India,12,Arunachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,7 Above,person,79.4
1393,India,12,Arunachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",urban,5 Above,female,82.3
1394,India,12,Arunachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",urban,5 Above,male,94.7
1395,India,12,Arunachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",urban,5 Above,person,88.9
1396,India,12,Arunachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",urban,7 Above,female,82.1
1397,India,12,Arunachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",urban,7 Above,male,94.8
1398,India,12,Arunachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",urban,7 Above,person,88.9
1399,India,12,Arunachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",rural,5 Above,female,73.6
1400,India,12,Arunachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",rural,5 Above,male,87.9
1401,India,12,Arunachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",rural,5 Above,person,81.5
1402,India,12,Arunachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",rural,7 Above,female,73.3
1403,India,12,Arunachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",rural,7 Above,male,87.8
1404,India,12,Arunachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",rural,7 Above,person,81.4
1405,India,12,Arunachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,5 Above,female,75.8
1406,India,12,Arunachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,5 Above,male,89.2
1407,India,12,Arunachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,5 Above,person,83.2
1408,India,12,Arunachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,7 Above,female,75.5
1409,India,12,Arunachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,7 Above,male,89.2
1410,India,12,Arunachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,7 Above,person,83.1
1411,India,12,Arunachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",urban,5 Above,female,85.9
1412,India,12,Arunachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",urban,5 Above,male,96.1
1413,India,12,Arunachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",urban,5 Above,person,91.2
1414,India,12,Arunachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",urban,7 Above,female,85.9
1415,India,12,Arunachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",urban,7 Above,male,96.6
1416,India,12,Arunachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",urban,7 Above,person,91.5
1417,India,12,Arunachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",rural,5 Above,female,76.7
1418,India,12,Arunachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",rural,5 Above,male,86.5
1419,India,12,Arunachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",rural,5 Above,person,81.8
1420,India,12,Arunachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",rural,7 Above,female,76.6
1421,India,12,Arunachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",rural,7 Above,male,86.6
1422,India,12,Arunachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",rural,7 Above,person,81.9
1423,India,12,Arunachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,5 Above,female,78.5
1424,India,12,Arunachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,5 Above,male,88.1
1425,India,12,Arunachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,5 Above,person,83.6
1426,India,12,Arunachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,7 Above,female,78.6
1427,India,12,Arunachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,7 Above,male,88.3
1428,India,12,Arunachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,7 Above,person,83.7
1429,India,12,Arunachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",urban,5 Above,female,86.7
1430,India,12,Arunachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",urban,5 Above,male,95.3
1431,India,12,Arunachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",urban,5 Above,person,91.2
1432,India,12,Arunachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",urban,7 Above,female,87.3
1433,India,12,Arunachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",urban,7 Above,male,95.7
1434,India,12,Arunachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",urban,7 Above,person,91.8
1435,India,12,Arunachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",rural,5 Above,female,78.5
1436,India,12,Arunachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",rural,5 Above,male,88.2
1437,India,12,Arunachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",rural,5 Above,person,83.6
1438,India,12,Arunachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",rural,7 Above,female,78.1
1439,India,12,Arunachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",rural,7 Above,male,88.4
1440,India,12,Arunachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",rural,7 Above,person,83.6
1441,India,12,Arunachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,5 Above,female,80.2
1442,India,12,Arunachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,5 Above,male,89.5
1443,India,12,Arunachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,5 Above,person,85.1
1444,India,12,Arunachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,7 Above,female,79.9
1445,India,12,Arunachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,7 Above,male,89.7
1446,India,12,Arunachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,7 Above,person,85.1
1447,India,12,Arunachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",urban,5 Above,female,87.2
1448,India,12,Arunachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",urban,5 Above,male,95.5
1449,India,12,Arunachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",urban,5 Above,person,91.4
1450,India,12,Arunachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",urban,7 Above,female,87.3
1451,India,12,Arunachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",urban,7 Above,male,95.8
1452,India,12,Arunachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",urban,7 Above,person,91.6
1453,India,12,Arunachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",rural,5 Above,female,74.3
1454,India,12,Arunachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",rural,5 Above,male,82.8
1455,India,12,Arunachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",rural,5 Above,person,78.6
1456,India,12,Arunachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",rural,7 Above,female,73.9
1457,India,12,Arunachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",rural,7 Above,male,82.7
1458,India,12,Arunachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",rural,7 Above,person,78.4
1459,India,12,Arunachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,5 Above,female,76.6
1460,India,12,Arunachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,5 Above,male,84.9
1461,India,12,Arunachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,5 Above,person,80.8
1462,India,12,Arunachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,7 Above,female,76.4
1463,India,12,Arunachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,7 Above,male,84.8
1464,India,12,Arunachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,7 Above,person,80.7
1465,India,12,Arunachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",urban,5 Above,female,88.3
1466,India,12,Arunachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",urban,5 Above,male,94.8
1467,India,12,Arunachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",urban,5 Above,person,91.7
1468,India,12,Arunachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",urban,7 Above,female,88.4
1469,India,12,Arunachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",urban,7 Above,male,95.2
1470,India,12,Arunachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",urban,7 Above,person,91.8
1471,India,12,Arunachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",rural,5 Above,female,79.5
1472,India,12,Arunachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",rural,5 Above,male,86.4
1473,India,12,Arunachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",rural,5 Above,person,83
1474,India,12,Arunachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",rural,7 Above,female,78.9
1475,India,12,Arunachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",rural,7 Above,male,86.6
1476,India,12,Arunachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",rural,7 Above,person,82.8
1477,India,12,Arunachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,5 Above,female,80.6
1478,India,12,Arunachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,5 Above,male,87.6
1479,India,12,Arunachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,5 Above,person,84.1
1480,India,12,Arunachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,7 Above,female,80.2
1481,India,12,Arunachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,7 Above,male,87.9
1482,India,12,Arunachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,7 Above,person,84.1
1483,India,12,Arunachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",urban,5 Above,female,87
1484,India,12,Arunachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",urban,5 Above,male,94.2
1485,India,12,Arunachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",urban,5 Above,person,90.6
1486,India,12,Arunachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",urban,7 Above,female,87.2
1487,India,12,Arunachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",urban,7 Above,male,94.9
1488,India,12,Arunachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",urban,7 Above,person,91.1
1489,India,12,Arunachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",rural,5 Above,female,78.9
1490,India,12,Arunachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",rural,5 Above,male,86.7
1491,India,12,Arunachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",rural,5 Above,persons,82.9
1492,India,12,Arunachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",rural,7 Above,female,78.7
1493,India,12,Arunachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",rural,7 Above,male,86.7
1494,India,12,Arunachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",rural,7 Above,persons,82.9
1495,India,12,Arunachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,5 Above,female,80.4
1496,India,12,Arunachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,5 Above,male,87.9
1497,India,12,Arunachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,5 Above,persons,84.3
1498,India,12,Arunachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,7 Above,female,80.3
1499,India,12,Arunachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,7 Above,male,88
1500,India,12,Arunachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,7 Above,persons,84.2
1501,India,12,Arunachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",urban,5 Above,female,87.4
1502,India,12,Arunachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",urban,5 Above,male,94.2
1503,India,12,Arunachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",urban,5 Above,persons,90.8
1504,India,12,Arunachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",urban,7 Above,female,87.6
1505,India,12,Arunachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",urban,7 Above,male,94.6
1506,India,12,Arunachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",urban,7 Above,persons,91.1
1507,India,13,Nagaland,2017,"Agriculture Year (Jul - Jun), 2017",rural,5 Above,female,83.9
1508,India,13,Nagaland,2017,"Agriculture Year (Jul - Jun), 2017",rural,5 Above,male,93.2
1509,India,13,Nagaland,2017,"Agriculture Year (Jul - Jun), 2017",rural,5 Above,person,88.8
1510,India,13,Nagaland,2017,"Agriculture Year (Jul - Jun), 2017",rural,7 Above,female,83.8
1511,India,13,Nagaland,2017,"Agriculture Year (Jul - Jun), 2017",rural,7 Above,male,93.4
1512,India,13,Nagaland,2017,"Agriculture Year (Jul - Jun), 2017",rural,7 Above,person,88.8
1513,India,13,Nagaland,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,5 Above,female,87.3
1514,India,13,Nagaland,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,5 Above,male,94
1515,India,13,Nagaland,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,5 Above,person,90.8
1516,India,13,Nagaland,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,7 Above,female,87.4
1517,India,13,Nagaland,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,7 Above,male,94.4
1518,India,13,Nagaland,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,7 Above,person,91
1519,India,13,Nagaland,2017,"Agriculture Year (Jul - Jun), 2017",urban,5 Above,female,95
1520,India,13,Nagaland,2017,"Agriculture Year (Jul - Jun), 2017",urban,5 Above,male,95.8
1521,India,13,Nagaland,2017,"Agriculture Year (Jul - Jun), 2017",urban,5 Above,person,95.4
1522,India,13,Nagaland,2017,"Agriculture Year (Jul - Jun), 2017",urban,7 Above,female,95.4
1523,India,13,Nagaland,2017,"Agriculture Year (Jul - Jun), 2017",urban,7 Above,male,96.9
1524,India,13,Nagaland,2017,"Agriculture Year (Jul - Jun), 2017",urban,7 Above,person,96.2
1525,India,13,Nagaland,2018,"Agriculture Year (Jul - Jun), 2018",rural,5 Above,female,91
1526,India,13,Nagaland,2018,"Agriculture Year (Jul - Jun), 2018",rural,5 Above,male,95.6
1527,India,13,Nagaland,2018,"Agriculture Year (Jul - Jun), 2018",rural,5 Above,person,93.3
1528,India,13,Nagaland,2018,"Agriculture Year (Jul - Jun), 2018",rural,7 Above,female,91.3
1529,India,13,Nagaland,2018,"Agriculture Year (Jul - Jun), 2018",rural,7 Above,male,96.5
1530,India,13,Nagaland,2018,"Agriculture Year (Jul - Jun), 2018",rural,7 Above,person,93.9
1531,India,13,Nagaland,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,5 Above,female,92.2
1532,India,13,Nagaland,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,5 Above,male,96.1
1533,India,13,Nagaland,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,5 Above,person,94.2
1534,India,13,Nagaland,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,7 Above,female,92.7
1535,India,13,Nagaland,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,7 Above,male,97.1
1536,India,13,Nagaland,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,7 Above,person,94.9
1537,India,13,Nagaland,2018,"Agriculture Year (Jul - Jun), 2018",urban,5 Above,female,95.5
1538,India,13,Nagaland,2018,"Agriculture Year (Jul - Jun), 2018",urban,5 Above,male,97.5
1539,India,13,Nagaland,2018,"Agriculture Year (Jul - Jun), 2018",urban,5 Above,person,96.5
1540,India,13,Nagaland,2018,"Agriculture Year (Jul - Jun), 2018",urban,7 Above,female,96.2
1541,India,13,Nagaland,2018,"Agriculture Year (Jul - Jun), 2018",urban,7 Above,male,98.7
1542,India,13,Nagaland,2018,"Agriculture Year (Jul - Jun), 2018",urban,7 Above,person,97.5
1543,India,13,Nagaland,2019,"Agriculture Year (Jul - Jun), 2019",rural,5 Above,female,94.1
1544,India,13,Nagaland,2019,"Agriculture Year (Jul - Jun), 2019",rural,5 Above,male,96.7
1545,India,13,Nagaland,2019,"Agriculture Year (Jul - Jun), 2019",rural,5 Above,person,95.5
1546,India,13,Nagaland,2019,"Agriculture Year (Jul - Jun), 2019",rural,7 Above,female,94.3
1547,India,13,Nagaland,2019,"Agriculture Year (Jul - Jun), 2019",rural,7 Above,male,96.7
1548,India,13,Nagaland,2019,"Agriculture Year (Jul - Jun), 2019",rural,7 Above,person,95.6
1549,India,13,Nagaland,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,5 Above,female,94.9
1550,India,13,Nagaland,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,5 Above,male,97
1551,India,13,Nagaland,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,5 Above,person,96
1552,India,13,Nagaland,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,7 Above,female,95.2
1553,India,13,Nagaland,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,7 Above,male,97.2
1554,India,13,Nagaland,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,7 Above,person,96.2
1555,India,13,Nagaland,2019,"Agriculture Year (Jul - Jun), 2019",urban,5 Above,female,96.6
1556,India,13,Nagaland,2019,"Agriculture Year (Jul - Jun), 2019",urban,5 Above,male,97.9
1557,India,13,Nagaland,2019,"Agriculture Year (Jul - Jun), 2019",urban,5 Above,person,97.2
1558,India,13,Nagaland,2019,"Agriculture Year (Jul - Jun), 2019",urban,7 Above,female,97.1
1559,India,13,Nagaland,2019,"Agriculture Year (Jul - Jun), 2019",urban,7 Above,male,98.3
1560,India,13,Nagaland,2019,"Agriculture Year (Jul - Jun), 2019",urban,7 Above,person,97.7
1561,India,13,Nagaland,2020,"Agriculture Year (Jul - Jun), 2020",rural,5 Above,female,95
1562,India,13,Nagaland,2020,"Agriculture Year (Jul - Jun), 2020",rural,5 Above,male,97.9
1563,India,13,Nagaland,2020,"Agriculture Year (Jul - Jun), 2020",rural,5 Above,person,96.5
1564,India,13,Nagaland,2020,"Agriculture Year (Jul - Jun), 2020",rural,7 Above,female,94.9
1565,India,13,Nagaland,2020,"Agriculture Year (Jul - Jun), 2020",rural,7 Above,male,98.1
1566,India,13,Nagaland,2020,"Agriculture Year (Jul - Jun), 2020",rural,7 Above,person,96.6
1567,India,13,Nagaland,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,5 Above,female,95.4
1568,India,13,Nagaland,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,5 Above,male,98
1569,India,13,Nagaland,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,5 Above,person,96.7
1570,India,13,Nagaland,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,7 Above,female,95.4
1571,India,13,Nagaland,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,7 Above,male,98.3
1572,India,13,Nagaland,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,7 Above,person,96.9
1573,India,13,Nagaland,2020,"Agriculture Year (Jul - Jun), 2020",urban,5 Above,female,96.4
1574,India,13,Nagaland,2020,"Agriculture Year (Jul - Jun), 2020",urban,5 Above,male,98.3
1575,India,13,Nagaland,2020,"Agriculture Year (Jul - Jun), 2020",urban,5 Above,person,97.4
1576,India,13,Nagaland,2020,"Agriculture Year (Jul - Jun), 2020",urban,7 Above,female,96.6
1577,India,13,Nagaland,2020,"Agriculture Year (Jul - Jun), 2020",urban,7 Above,male,98.6
1578,India,13,Nagaland,2020,"Agriculture Year (Jul - Jun), 2020",urban,7 Above,person,97.6
1579,India,13,Nagaland,2021,"Agriculture Year (Jul - Jun), 2021",rural,5 Above,female,93.1
1580,India,13,Nagaland,2021,"Agriculture Year (Jul - Jun), 2021",rural,5 Above,male,96.3
1581,India,13,Nagaland,2021,"Agriculture Year (Jul - Jun), 2021",rural,5 Above,person,94.8
1582,India,13,Nagaland,2021,"Agriculture Year (Jul - Jun), 2021",rural,7 Above,female,93.1
1583,India,13,Nagaland,2021,"Agriculture Year (Jul - Jun), 2021",rural,7 Above,male,96.4
1584,India,13,Nagaland,2021,"Agriculture Year (Jul - Jun), 2021",rural,7 Above,person,94.7
1585,India,13,Nagaland,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,5 Above,female,94.1
1586,India,13,Nagaland,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,5 Above,male,96.8
1587,India,13,Nagaland,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,5 Above,person,95.5
1588,India,13,Nagaland,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,7 Above,female,94.1
1589,India,13,Nagaland,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,7 Above,male,96.8
1590,India,13,Nagaland,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,7 Above,person,95.5
1591,India,13,Nagaland,2021,"Agriculture Year (Jul - Jun), 2021",urban,5 Above,female,97.1
1592,India,13,Nagaland,2021,"Agriculture Year (Jul - Jun), 2021",urban,5 Above,male,98.1
1593,India,13,Nagaland,2021,"Agriculture Year (Jul - Jun), 2021",urban,5 Above,person,97.6
1594,India,13,Nagaland,2021,"Agriculture Year (Jul - Jun), 2021",urban,7 Above,female,97
1595,India,13,Nagaland,2021,"Agriculture Year (Jul - Jun), 2021",urban,7 Above,male,98.1
1596,India,13,Nagaland,2021,"Agriculture Year (Jul - Jun), 2021",urban,7 Above,person,97.5
1597,India,13,Nagaland,2022,"Agriculture Year (Jul - Jun), 2022",rural,5 Above,female,93.6
1598,India,13,Nagaland,2022,"Agriculture Year (Jul - Jun), 2022",rural,5 Above,male,95.1
1599,India,13,Nagaland,2022,"Agriculture Year (Jul - Jun), 2022",rural,5 Above,person,94.4
1600,India,13,Nagaland,2022,"Agriculture Year (Jul - Jun), 2022",rural,7 Above,female,93.7
1601,India,13,Nagaland,2022,"Agriculture Year (Jul - Jun), 2022",rural,7 Above,male,95.4
1602,India,13,Nagaland,2022,"Agriculture Year (Jul - Jun), 2022",rural,7 Above,person,94.6
1603,India,13,Nagaland,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,5 Above,female,94.7
1604,India,13,Nagaland,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,5 Above,male,96
1605,India,13,Nagaland,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,5 Above,person,95.3
1606,India,13,Nagaland,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,7 Above,female,94.8
1607,India,13,Nagaland,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,7 Above,male,96.2
1608,India,13,Nagaland,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,7 Above,person,95.5
1609,India,13,Nagaland,2022,"Agriculture Year (Jul - Jun), 2022",urban,5 Above,female,97.7
1610,India,13,Nagaland,2022,"Agriculture Year (Jul - Jun), 2022",urban,5 Above,male,98.3
1611,India,13,Nagaland,2022,"Agriculture Year (Jul - Jun), 2022",urban,5 Above,person,98
